qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 ,bin_integrate_factor
True,0.25,0.0,0.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,3.613,0.168,0.035,0.058,2.0
True,0.75,0.5,1.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,10.08,0.27,0.1,0.058,2.0
True,1.25,1.0,1.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,15.51,0.33,0.15,0.058,2.0
True,1.75,1.5,2.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,19.47,0.37,0.19,0.058,2.0
True,2.25,2.0,2.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,21.58,0.39,0.21,0.058,2.0
True,2.75,2.5,3.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,22.95,0.4,0.23,0.058,2.0
True,3.25,3.0,3.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,22.58,0.39,0.22,0.058,2.0
True,3.75,3.5,4.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,22.35,0.39,0.22,0.058,2.0
True,4.25,4.0,4.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,20.61,0.37,0.21,0.058,2.0
True,4.75,4.5,5.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,19.87,0.36,0.2,0.058,2.0
True,5.25,5.0,5.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,18.76,0.35,0.19,0.058,2.0
True,5.75,5.5,6.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,17.29,0.34,0.17,0.058,2.0
True,6.25,6.0,6.5,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,15.63,0.32,0.16,0.058,2.0
True,6.75,6.5,7.0,True,91.0,66.0,116.0,True,0.0,-3.5,3.5,1960.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,14.68,0.31,0.15,0.058,2.0
