Name,E228-200
Comment,E288 (200) data
Reference,Phys.Rev.D 23 (1981) 604
Process type,DY
Number of points,89
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.25
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E228-200.5Q6.0,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,0.1,0.0,0.2,1630.0,110.0,13262.911924324999,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.1,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,0.30000000000000004,0.2,0.4,1440.0,80.0,4420.970641441667,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.2,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,0.5,0.4,0.6,1190.0,70.0,2652.582384865001,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.3,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,0.7,0.6,0.8,1040.0,70.0,1894.7017034749992,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.4,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,0.9,0.8,1.0,601.0,51.0,1473.6568804805563,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.5,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,1.1,1.0,1.2,441.0,43.0,1205.7192658477277,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.6,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,1.2999999999999998,1.2,1.4,248.0,30.0,1020.2239941788467,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.7,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,1.5,1.4,1.6,255.0,36.0,884.1941282883322,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.8,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,1.7000000000000002,1.6,1.8,159.0,28.0,780.1712896661769,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.9,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,1.9,1.8,2.0,63.0,15.0,698.0479960171056,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.10,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,2.1,2.0,2.2,44.0,16.0,631.5672344916662,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.11,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,2.3,2.2,2.4,50.0,16.0,576.6483445358703,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.12,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,2.5,2.4,2.6,8.1,8.3,530.5164769729995,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.13,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,2.7,2.6,2.8,11.8,8.7,491.21896016018593,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.14,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,2.9,2.8,3.0,4.2,4.2,457.34179049396516,False,0.0,0.0,-1000.0,1000.0
E228-200.5Q6.16,1 - 2 - 1001,377.1364000000001,5.5,5.0,6.0,0.39999999999999997,0.1,0.7,3.3,3.2,3.4,-5.0,5.1,401.90642194924345,False,0.0,0.0,-1000.0,1000.0
