Name,E228-400
Comment,E288 (400) data
Reference,Phys.Rev.D 23 (1981) 604
Process type,DY
Number of points,177
Number of uncorr.errors,1
Number of corr.errors,0
Number of norm.errors,1
List of norm.errors (relative),0.25
Total cross-section nomalized,False
List of points 
Point id,process id,s[GeV^2],<Q>[GeV],Qmin[GeV],Qmax[GeV],<y>,yMin,yMax,<qT>[GeV],qTMin[GeV],qTMax[GeV],xSec,Uncorr.Err.0,Th.Factor,FiducialCuts,kCut1[GeV],kCut2[GeV],etaMin,etaMax
E228-400.5Q6.0,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,0.1,0.0,0.2,2880.0,120.0,13262.911924324999,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.1,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,0.30000000000000004,0.2,0.4,2760.0,80.0,4420.970641441667,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.2,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,0.5,0.4,0.6,2300.0,70.0,2652.582384865001,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.3,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,0.7,0.6,0.8,2080.0,70.0,1894.7017034749992,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.4,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,0.9,0.8,1.0,1480.0,60.0,1473.6568804805563,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.5,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,1.1,1.0,1.2,1180.0,60.0,1205.7192658477277,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.6,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,1.2999999999999998,1.2,1.4,817.0,48.0,1020.2239941788467,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.7,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,1.5,1.4,1.6,590.0,43.0,884.1941282883322,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.8,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,1.7000000000000002,1.6,1.8,458.0,37.0,780.1712896661769,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.9,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,1.9,1.8,2.0,319.0,32.0,698.0479960171056,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.10,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,2.1,2.0,2.2,167.0,24.0,631.5672344916662,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.11,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,2.3,2.2,2.4,111.0,21.0,576.6483445358703,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.12,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,2.5,2.4,2.6,71.0,19.0,530.5164769729995,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.13,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,2.7,2.6,2.8,49.0,15.0,491.21896016018593,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.14,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,2.9,2.8,3.0,53.0,14.0,457.34179049396516,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.15,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,3.1,3.0,3.2,8.0,13.0,427.8358685266123,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.17,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,3.5,3.4,3.6,26.0,13.0,378.9403406949994,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.18,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,3.7,3.6,3.8,10.0,10.0,358.4570790358112,False,0.0,0.0,-1000.0,1000.0
E228-400.5Q6.22,1 - 2 - 1001,752.4049,5.5,5.0,6.0,0.02999999999999997,-0.27,0.32999999999999996,4.5,4.4,4.6,27.0,28.0,294.73137609611223,False,0.0,0.0,-1000.0,1000.0
