qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_add_0,error_mult_0 ,bin_integrate_factor
True,1.5,1.0,2.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.3403,0.12834,5e-06,0.025,2.0
True,2.5,2.0,3.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.1761,0.155173,7e-06,0.025,2.0
True,3.5,3.0,4.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,8.0962,0.162268,8e-06,0.025,2.0
True,4.5,4.0,5.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,8.2121,0.155657,8e-06,0.025,2.0
True,5.5,5.0,6.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.8929,0.141305,8e-06,0.025,2.0
True,6.5,6.0,7.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,7.4519,0.127801,7e-06,0.025,2.0
True,7.5,7.0,8.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.8903,0.114951,7e-06,0.025,2.0
True,8.5,8.0,9.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,6.435,0.102883,6e-06,0.025,2.0
True,9.5,9.0,10.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.8886,0.091947,6e-06,0.025,2.0
True,10.5,10.0,11.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,5.3966,0.085096,5e-06,0.025,2.0
True,11.5,11.0,12.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.9616,0.077499,5e-06,0.025,2.0
True,12.5,12.0,13.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.6803,0.068591,5e-06,0.025,2.0
True,13.5,13.0,14.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,4.1476,0.055396,4e-06,0.025,2.0
True,15.0,14.0,16.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.7455,0.047109,4e-06,0.025,1.0
True,17.0,16.0,18.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,3.2288,0.039305,3e-06,0.025,1.0
True,19.0,18.0,20.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.7913,0.033056,3e-06,0.025,1.0
True,21.0,20.0,22.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.4152,0.027968,2e-06,0.025,1.0
True,23.5,22.0,25.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,2.0517,0.023255,2e-06,0.025,0.6666666667
True,26.5,25.0,28.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.6786,0.018505,2e-06,0.025,0.6666666667
True,30.0,28.0,32.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.3848,0.015023,1e-06,0.025,0.5
True,34.5,32.0,37.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,1.0655,0.011879,1e-06,0.025,0.4
True,40.0,37.0,43.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.79612,0.009437,1e-06,0.025,0.3333333333
True,47.5,43.0,52.0,True,91.1876,76.1876,106.1876,True,1.0,0.8,1.2,13000.0,1,dσ/dqT,True,25.0,25.0,-2.4,2.4,0.55071,0.00712,1e-06,0.025,0.2222222222
