qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 ,bin_integrate_factor
True,0.5,0.0,1.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,6.04,0.53,0.044,1.0
True,1.5,1.0,2.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,16.2,0.96,0.044,1.0
True,2.5,2.0,3.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,20.4,1.1,0.044,1.0
True,3.5,3.0,4.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,19.7,1.1,0.044,1.0
True,4.5,4.0,5.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,16.2,0.92,0.044,1.0
True,5.5,5.0,6.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,15.0,0.87,0.044,1.0
True,6.5,6.0,7.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,14.1,0.84,0.044,1.0
True,7.5,7.0,8.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,11.1,0.73,0.044,1.0
True,8.5,8.0,9.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,10.0,0.69,0.044,1.0
True,9.5,9.0,10.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,9.29,0.67,0.044,1.0
True,11.0,10.0,12.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,7.25,0.54,0.044,0.5
True,13.0,12.0,14.0,True,91.0,75.0,105.0,True,0.0,-3.5,3.5,1800.0,-1,dσ/dqT,False,0.0,0.0,-1000.0,1000.0,5.45,0.44,0.044,0.5
