qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_add_1,error_mult_0 ,bin_integrate_factor
True,1.1,0.0,2.2,True,91.0,60.0,120.0,True,3.25,2.0,4.5,8000.0,1,dσ/dqT,True,20.0,2.0,4.5,3.592273,0.037273,0.059091,0.041364,0.041818,0.0,0.4545454545
True,2.8,2.2,3.4,True,91.0,60.0,120.0,True,3.25,2.0,4.5,8000.0,1,dσ/dqT,True,20.0,2.0,4.5,6.420833,0.066667,0.09,0.074167,0.075,0.0,0.8333333333
True,4.0,3.4,4.6,True,91.0,60.0,120.0,True,3.25,2.0,4.5,8000.0,1,dσ/dqT,True,20.0,2.0,4.5,6.340833,0.065,0.066667,0.073333,0.074167,0.0,0.8333333333
True,5.2,4.6,5.8,True,91.0,60.0,120.0,True,3.25,2.0,4.5,8000.0,1,dσ/dqT,True,20.0,2.0,4.5,5.894167,0.0625,0.065,0.0675,0.069167,0.0,0.8333333333
True,6.5,5.8,7.2,True,91.0,60.0,120.0,True,3.25,2.0,4.5,8000.0,1,dσ/dqT,True,20.0,2.0,4.5,5.270714,0.055714,0.049286,0.060714,0.061429,0.0,0.7142857143
True,7.95,7.2,8.7,True,91.0,60.0,120.0,True,3.25,2.0,4.5,8000.0,1,dσ/dqT,True,20.0,2.0,4.5,4.542,0.050667,0.049333,0.052,0.053333,0.0,0.6666666667
True,9.6,8.7,10.5,True,91.0,60.0,120.0,True,3.25,2.0,4.5,8000.0,1,dσ/dqT,True,20.0,2.0,4.5,3.750556,0.041667,0.035556,0.043333,0.043889,0.0,0.5555555556
