qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_mult_0 
True,0.1,0.0,0.2,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,6.29,0.32,0.25
True,0.3,0.2,0.4,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,5.88,0.24,0.25
True,0.5,0.4,0.6,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,4.75,0.23,0.25
True,0.7,0.6,0.8,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,3.69,0.22,0.25
True,0.9,0.8,1.0,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,2.93,0.22,0.25
True,1.1,1.0,1.2,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.68,0.16,0.25
True,1.3,1.2,1.4,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,1.26,0.14,0.25
True,1.5,1.4,1.6,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.678,0.124,0.25
True,1.7,1.6,1.8,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.598,0.102,0.25
True,1.9,1.8,2.0,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.059,0.067,0.25
True,2.1,2.0,2.2,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.176,0.062,0.25
True,2.3,2.2,2.4,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,-0.033,0.055,0.25
True,2.5,2.4,2.6,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,0.105,0.056,0.25
True,2.7,2.6,2.8,True,4.5,4.0,5.0,True,0.4,0.1,0.7,19.42,0.4603,E*dσ/d3q,False,0.0,0.0,-1000.0,1000.0,-0.073,0.075,0.25
